Id,SalePrice
1,49891.30916717419
2,185764.21758147894
3,115736.678136677
4,266383.83779281256
5,217399.55660318077
6,116888.69807569626
7,156704.31245865242
8,119352.60796666442
9,95728.59262431087
10,157964.84086493816
11,149254.27745575158
12,123930.95451112799
13,140420.28942647428
14,209812.55484794755
15,128765.22682433645
16,129209.61445419551
17,191125.12859229316
18,218106.07737449565
19,240339.5753183082
20,192196.66000330003
21,196295.93163636443
22,512819.41655976704
23,159703.75058282624
24,161313.38081666775
25,213037.87728505363
26,233498.5175610138
27,310914.1491088772
28,124559.32408357628
29,108694.73614472302
30,139666.84330623315
31,96950.24631162654
32,240778.77419060277
33,280941.1486633406
34,647064.2898776267
35,137643.8141268851
36,198183.51453672737
37,106724.16752763995
38,183581.47295601966
39,187604.14882572126
40,166898.75580597355
41,163770.36870117512
42,123822.25922140552
43,156447.21561456268
44,142790.7139342437
45,162432.75349381112
46,233311.55243627517
47,154059.54542497508
48,180194.3824604559
49,141885.94251250708
50,100275.77122840022
51,195293.45174119153
52,127257.20150432263
53,200707.3654782191
54,153540.61456934936
55,278556.27596703125
56,110988.77049238204
57,207753.4261691537
58,138023.35099603602
59,294053.8661387311
60,198156.50533432455
61,209554.46138107812
62,92763.9099930415
63,131635.43285661523
64,127696.56195818866
65,115208.40886032948
66,119020.06546410553
67,233859.7699294452
68,90399.5185695211
69,109900.34487904698
70,126565.13310196514
71,154416.300180569
72,132775.43040460217
73,202289.21228512446
74,139816.64105124312
75,236893.93237517256
76,142874.06342485687
77,360621.21109612146
78,133989.40167880463
79,179147.42610461466
80,141390.99907152614
81,106747.66287974805
82,133391.3807007486
83,114002.78252804615
84,152492.27629242183
85,163855.92917940044
86,213832.82955204867
87,140053.99968374512
88,215781.53637947387
89,209719.66561896386
90,258777.86372075134
91,182679.14387195176
92,424383.70337220357
93,184192.4821085772
94,197569.73805379326
95,199046.68484519946
96,137155.07785195985
97,150027.1724234208
98,123126.13030926547
99,237187.8045021306
100,186822.19274526174
101,118894.92864203446
102,263184.9698550741
103,184884.45958189372
104,129392.4143033977
105,319339.5626134077
106,90791.49158278193
107,182739.17733716092
108,149446.1835174799
109,194322.28322728796
110,124758.24642674529
111,140629.9759517101
112,154527.41687127834
113,167067.39858475997
114,178370.0681931588
115,124497.83771556022
116,362048.6146282309
117,355932.3386610398
118,138541.29759315794
119,165213.43903007059
120,129985.36233547288
121,163019.09922589542
122,146773.31717364473
123,159794.45268642314
124,181370.3113539765
125,247823.5661477146
126,73407.73062436639
127,207318.88478259006
128,192049.8704266524
129,152488.0308731895
130,126249.8859598647
131,179724.51793287642
132,124874.4205229649
133,152604.1483622159
134,166881.5727121435
135,252926.5703355528
136,277288.7538902071
137,165464.81413208295
138,115386.11296366488
139,114831.68321795952
140,186330.67082718282
141,117035.60334341813
142,134063.39811025668
143,149281.6451830305
